,location,name,nid,rank,rank_order,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,scores_overall,scores_research,scores_research_rank,scores_teaching,scores_teaching_rank,subjects_offered,url
314,Italy,University of Modena and Reggio Emilia,792,301-350,315,50.8,231,27.9,321,26.8,326,-,15.7,349,14.5,391,"Biological Sciences,Civil Engineering,Psychology,Geology, Environmental, Earth & Marine Sciences,Accounting & Finance,Communication & Media Studies,Languages, Literature & Linguistics,Law,Mechanical & Aerospace Engineering,Education,History, Philosophy & Theology,Business & Management,Agriculture & Forestry,Physics & Astronomy,Mathematics & Statistics,General Engineering,Other Health,Economics & Econometrics,Computer Science,Chemistry,Electrical & Electronic Engineering,Medicine & Dentistry",/world-university-rankings/university-modena-and-reggio-emilia
315,Belgium,Vrije Universiteit Brussel,811,301-350,316,36.7,313,66.2,69,49.4,200,-,21.1,282,23.4,312,"Mathematics & Statistics,Communication & Media Studies,Civil Engineering,Sociology,Physics & Astronomy,Politics & International Studies (incl Development Studies),Law,Chemical Engineering,Psychology,Other Health,Sport Science,Biological Sciences,Languages, Literature & Linguistics,Electrical & Electronic Engineering,Medicine & Dentistry,Chemistry,Business & Management,Computer Science,History, Philosophy & Theology,Geology, Environmental, Earth & Marine Sciences,Archaeology,General Engineering,Economics & Econometrics,Mechanical & Aerospace Engineering,Geography,Education",/world-university-rankings/vrije-universiteit-brussel
316,Italy,University of Ferrara,777,301-350,317,59.3,177,34.3,235,37.1,263,-,14.1,363,15.8,384,"Chemistry,Computer Science,Biological Sciences,Mathematics & Statistics,Law,Business & Management,Mechanical & Aerospace Engineering,Geology, Environmental, Earth & Marine Sciences,Sport Science,Physics & Astronomy,Other Health,Civil Engineering,Communication & Media Studies,Economics & Econometrics,Languages, Literature & Linguistics,Electrical & Electronic Engineering,Archaeology,Medicine & Dentistry,Architecture",/world-university-rankings/university-ferrara
317,United States,University of Oklahoma,794,301-350,318,31.6,336,32.3,262,20.7,374,-,16.1,343,33.8,198,"Computer Science,Politics & International Studies (incl Development Studies),Economics & Econometrics,Electrical & Electronic Engineering,Law,Biological Sciences,Chemistry,Mathematics & Statistics,Chemical Engineering,Geography,Geology, Environmental, Earth & Marine Sciences,Civil Engineering,Sport Science,General Engineering,Architecture,Mechanical & Aerospace Engineering,Art, Performing Arts & Design,Accounting & Finance,Physics & Astronomy,Communication & Media Studies,Education,Other Health,Sociology,History, Philosophy & Theology,Business & Management,Languages, Literature & Linguistics,Archaeology,Psychology",/world-university-rankings/university-oklahoma
318,Poland,University of Warsaw,813,301-350,319,44.3,266,-,399,35.8,271,-,15.7,350,21.6,325,"Art, Performing Arts & Design,Languages, Literature & Linguistics,Law,Business & Management,Mathematics & Statistics,Biological Sciences,Geology, Environmental, Earth & Marine Sciences,Architecture,History, Philosophy & Theology,Sociology,Psychology,Chemistry,Geography,Physics & Astronomy,Medicine & Dentistry,Education",/world-university-rankings/university-warsaw
319,Denmark,Aalborg University,766,301-350,320,27.1,355,36.4,203,75.3,78,-,20.0,290,19.0,350,"Computer Science,Sport Science,Languages, Literature & Linguistics,Electrical & Electronic Engineering,Art, Performing Arts & Design,General Engineering,Business & Management,Chemical Engineering,Economics & Econometrics",/world-university-rankings/aalborg-university
320,United States,George Mason University,778,301-350,321,42.6,280,25.1,359,23.8,351,-,17.7,322,29.3,237,"Sport Science,Communication & Media Studies,Mechanical & Aerospace Engineering,History, Philosophy & Theology,Education,Electrical & Electronic Engineering,Accounting & Finance,Civil Engineering,Psychology,Mathematics & Statistics,General Engineering,Art, Performing Arts & Design,Physics & Astronomy,Geology, Environmental, Earth & Marine Sciences,Computer Science,Languages, Literature & Linguistics,Economics & Econometrics,Geography,Law,Business & Management,Biological Sciences,Other Health,Sociology,Politics & International Studies (incl Development Studies),Chemistry",/world-university-rankings/george-mason-university
321,Italy,University of Pisa,795,301-350,322,50.8,232,35.3,220,26.2,333,-,18.5,313,18.3,357,"Agriculture & Forestry,Electrical & Electronic Engineering,Chemical Engineering,Civil Engineering,Physics & Astronomy,Medicine & Dentistry,General Engineering,Law,Archaeology,Geology, Environmental, Earth & Marine Sciences,Communication & Media Studies,Economics & Econometrics,Mechanical & Aerospace Engineering,History, Philosophy & Theology,Business & Management,Chemistry,Sport Science,Other Health,Veterinary Science,Politics & International Studies (incl Development Studies),Sociology,Languages, Literature & Linguistics,Mathematics & Statistics,Biological Sciences,Computer Science,Accounting & Finance",/world-university-rankings/university-pisa
322,United States,Washington State University,814,301-350,323,33.5,332,34.3,237,31.0,296,-,24.5,245,28.8,249,"Medicine & Dentistry,Agriculture & Forestry,Education,Accounting & Finance,Geography,Economics & Econometrics,Physics & Astronomy,Sociology,Chemical Engineering,Psychology,Mechanical & Aerospace Engineering,Geology, Environmental, Earth & Marine Sciences,Art, Performing Arts & Design,Veterinary Science,Languages, Literature & Linguistics,Archaeology,General Engineering,Business & Management,Chemistry,History, Philosophy & Theology,Mathematics & Statistics,Other Health,Biological Sciences,Communication & Media Studies,Civil Engineering,Electrical & Electronic Engineering,Sport Science,Politics & International Studies (incl Development Studies),Computer Science,Architecture",/world-university-rankings/washington-state-university
323,Taiwan,National Taiwan University of Science and Technology (Taiwan Tech),793,301-350,324,19.4,385,42.9,141,15.6,395,-,37.0,152,24.3,304,"Computer Science,Art, Performing Arts & Design,Civil Engineering,Mechanical & Aerospace Engineering,Education,General Engineering,Languages, Literature & Linguistics,Accounting & Finance,Electrical & Electronic Engineering,Business & Management,Architecture,Chemical Engineering",/world-university-rankings/national-taiwan-university-science-and-technology-taiwan-tech
324,United Kingdom,University of Hertfordshire,779,301-350,325,55.5,203,27.1,334,76.5,71,-,7.7,402,12.2,400,"Education,Civil Engineering,Accounting & Finance,Business & Management,Biological Sciences,Mechanical & Aerospace Engineering,Geography,History, Philosophy & Theology,Languages, Literature & Linguistics,Sport Science,Psychology,Geology, Environmental, Earth & Marine Sciences,General Engineering,Other Health,Physics & Astronomy,Electrical & Electronic Engineering,Economics & Econometrics,Law,Agriculture & Forestry,Architecture,Art, Performing Arts & Design,Mathematics & Statistics,Politics & International Studies (incl Development Studies),Computer Science,Communication & Media Studies",/world-university-rankings/university-hertfordshire
325,United Kingdom,Plymouth University,796,301-350,326,58.1,181,25.8,350,49.0,204,-,13.7,372,12.9,397,"Medicine & Dentistry,Accounting & Finance,Architecture,Veterinary Science,Agriculture & Forestry,Communication & Media Studies,Electrical & Electronic Engineering,Art, Performing Arts & Design,Sport Science,Economics & Econometrics,Sociology,Other Health,Geology, Environmental, Earth & Marine Sciences,Politics & International Studies (incl Development Studies),Business & Management,Languages, Literature & Linguistics,Computer Science,Law,Geography,Education,Mechanical & Aerospace Engineering,History, Philosophy & Theology,Mathematics & Statistics,Biological Sciences,Psychology,Civil Engineering,Chemistry",/world-university-rankings/plymouth-university
326,China,Zhejiang University,815,301-350,327,23.0,374,84.4,40,13.9,400,-,27.2,228,38.8,157,"Architecture,Sport Science,Veterinary Science,Politics & International Studies (incl Development Studies),Electrical & Electronic Engineering,Medicine & Dentistry,Biological Sciences,Chemical Engineering,Archaeology,Physics & Astronomy,Mathematics & Statistics,Other Health,Chemistry,Geology, Environmental, Earth & Marine Sciences,General Engineering,Psychology,Geography,Civil Engineering,Economics & Econometrics,Computer Science,Languages, Literature & Linguistics,Law,Sociology,Business & Management,Art, Performing Arts & Design,History, Philosophy & Theology,Education,Mechanical & Aerospace Engineering,Accounting & Finance,Communication & Media Studies,Agriculture & Forestry",/world-university-rankings/zhejiang-university
327,South Korea,Sungkyunkwan University (SKKU),805,301-350,328,23.9,369,99.4,17,26.6,328,-,32.1,190,31.4,218,"Physics & Astronomy,Politics & International Studies (incl Development Studies),Languages, Literature & Linguistics,Communication & Media Studies,Art, Performing Arts & Design,Accounting & Finance,History, Philosophy & Theology,Psychology,Law,Civil Engineering,Computer Science,Economics & Econometrics,Sociology,Business & Management,Architecture,Chemical Engineering,Other Health,Mechanical & Aerospace Engineering,Electrical & Electronic Engineering,Education,Chemistry,Medicine & Dentistry,Biological Sciences,General Engineering,Sport Science,Mathematics & Statistics",/world-university-rankings/sungkyunkwan-university-skku
328,United States,University of Houston,780,301-350,329,23.6,371,31.2,276,27.7,317,-,23.6,255,36.5,176,"Law,Geology, Environmental, Earth & Marine Sciences,Education,Art, Performing Arts & Design,Biological Sciences,Sport Science,Accounting & Finance,Physics & Astronomy,Other Health,Psychology,Chemistry,General Engineering,Computer Science,History, Philosophy & Theology,Communication & Media Studies,Chemical Engineering,Architecture,Electrical & Electronic Engineering,Politics & International Studies (incl Development Studies),Economics & Econometrics,Mathematics & Statistics,Sociology,Civil Engineering,Languages, Literature & Linguistics,Business & Management,Mechanical & Aerospace Engineering",/world-university-rankings/university-houston
329,Italy,Polytechnic University of Milan,797,301-350,330,33.9,331,69.8,61,33.6,280,-,17.6,324,24.1,307,"Mathematics & Statistics,Chemical Engineering,Communication & Media Studies,Mechanical & Aerospace Engineering,Physics & Astronomy,Computer Science,Chemistry,Business & Management,General Engineering,Art, Performing Arts & Design,Civil Engineering,Architecture,Electrical & Electronic Engineering",/world-university-rankings/polytechnic-university-milan
330,New Zealand,University of Waikato,812,301-350,331,47.8,249,24.5,364,87.0,31,-,13.9,367,13.3,395,"Agriculture & Forestry,Biological Sciences,Psychology,Physics & Astronomy,Mathematics & Statistics,Chemistry,General Engineering,Geology, Environmental, Earth & Marine Sciences,Sport Science,Geography,Civil Engineering,Economics & Econometrics,Computer Science,Sociology,Politics & International Studies (incl Development Studies),Law,Languages, Literature & Linguistics,Art, Performing Arts & Design,History, Philosophy & Theology,Education,Mechanical & Aerospace Engineering,Business & Management,Accounting & Finance,Communication & Media Studies,Veterinary Science,Electrical & Electronic Engineering,Chemical Engineering",/world-university-rankings/university-waikato
331,United Kingdom,University of Hull,781,301-350,332,40.2,290,28.1,316,66.2,122,-,16.7,333,14.5,390,"Geography,Economics & Econometrics,Computer Science,Communication & Media Studies,Sport Science,Geology, Environmental, Earth & Marine Sciences,Politics & International Studies (incl Development Studies),History, Philosophy & Theology,Languages, Literature & Linguistics,Business & Management,Physics & Astronomy,Chemistry,Law,Other Health,Archaeology,Biological Sciences,Sociology,General Engineering,Psychology,Mechanical & Aerospace Engineering,Mathematics & Statistics,Accounting & Finance,Electrical & Electronic Engineering,Art, Performing Arts & Design,Medicine & Dentistry,Chemical Engineering,Education",/world-university-rankings/university-hull
332,Portugal,University of Porto,798,301-350,333,43.9,269,33.7,241,42.0,239,-,13.0,373,17.7,366,"History, Philosophy & Theology,Languages, Literature & Linguistics,Art, Performing Arts & Design,Archaeology,Accounting & Finance,Architecture,Business & Management,Economics & Econometrics,Other Health,Civil Engineering,Computer Science,Medicine & Dentistry,General Engineering,Chemical Engineering,Electrical & Electronic Engineering,Mechanical & Aerospace Engineering,Agriculture & Forestry,Veterinary Science,Biological Sciences,Sport Science,Mathematics & Statistics,Chemistry,Geology, Environmental, Earth & Marine Sciences,Physics & Astronomy,Geography,Communication & Media Studies,Education,Law,Politics & International Studies (incl Development Studies),Psychology,Sociology",/world-university-rankings/university-porto
333,India,Indian Institute of Technology Bombay,782,301-350,334,38.8,300,24.2,367,14.3,398,-,15.7,348,43.8,122,"Chemical Engineering,Electrical & Electronic Engineering,Civil Engineering,Mathematics & Statistics,Computer Science,Physics & Astronomy,Chemistry,Mechanical & Aerospace Engineering,General Engineering",/world-university-rankings/indian-institute-technology-bombay
334,Czech Republic,Charles University in Prague,799,301-350,335,31.0,339,24.5,363,51.4,191,-,24.6,244,32.3,211,"Chemistry,History, Philosophy & Theology,Education,Medicine & Dentistry,Art, Performing Arts & Design,Archaeology,Other Health,Biological Sciences,Physics & Astronomy,Languages, Literature & Linguistics,Sociology,Psychology,Economics & Econometrics,Sport Science,Mathematics & Statistics,Communication & Media Studies,Geology, Environmental, Earth & Marine Sciences,Law,Computer Science,Politics & International Studies (incl Development Studies),Geography",/world-university-rankings/charles-university-prague
335,Poland,Jagiellonian University,783,301-350,336,43.1,274,25.8,349,39.5,251,-,16.0,344,25.1,291,"Politics & International Studies (incl Development Studies),Geology, Environmental, Earth & Marine Sciences,Psychology,Education,Physics & Astronomy,Medicine & Dentistry,Sociology,Chemistry,Biological Sciences,Other Health,Geography,Archaeology,Computer Science,Business & Management,Law,Communication & Media Studies,Accounting & Finance,History, Philosophy & Theology,Veterinary Science,Languages, Literature & Linguistics,Mathematics & Statistics",/world-university-rankings/jagiellonian-university
336,Italy,Sapienza University of Rome,800,301-350,337,29.2,347,32.8,251,32.4,289,-,27.2,227,29.6,234,"Education,Psychology,Accounting & Finance,Civil Engineering,Agriculture & Forestry,Chemistry,Chemical Engineering,General Engineering,Sociology,Other Health,Archaeology,Geology, Environmental, Earth & Marine Sciences,Mathematics & Statistics,Physics & Astronomy,Biological Sciences,Computer Science,Business & Management,History, Philosophy & Theology,Languages, Literature & Linguistics,Economics & Econometrics,Geography,Art, Performing Arts & Design,Mechanical & Aerospace Engineering,Politics & International Studies (incl Development Studies),Communication & Media Studies,Law,Architecture,Electrical & Electronic Engineering,Medicine & Dentistry",/world-university-rankings/sapienza-university-rome
337,Finland,Aalto University,767,301-350,338,37.5,306,61.9,82,49.0,203,-,22.2,265,26.2,278,"General Engineering,Mechanical & Aerospace Engineering,Business & Management,Physics & Astronomy,Economics & Econometrics,Mathematics & Statistics,Accounting & Finance,Art, Performing Arts & Design,Electrical & Electronic Engineering,Architecture,Chemical Engineering,Computer Science,Civil Engineering",/world-university-rankings/aalto-university
338,United Kingdom,Keele University,784,301-350,339,39.8,293,28.1,315,62.6,141,-,18.1,315,18.0,361,"Accounting & Finance,Communication & Media Studies,Medicine & Dentistry,Chemistry,Geology, Environmental, Earth & Marine Sciences,Art, Performing Arts & Design,Biological Sciences,Politics & International Studies (incl Development Studies),Sociology,Computer Science,Economics & Econometrics,Law,Business & Management,Languages, Literature & Linguistics,Education,History, Philosophy & Theology,Geography,Other Health,Psychology,Mathematics & Statistics,Physics & Astronomy",/world-university-rankings/keele-university
339,China,Shanghai Jiao Tong University,801,301-350,340,19.1,389,85.2,38,20.5,376,-,29.7,209,39.4,151,"Politics & International Studies (incl Development Studies),History, Philosophy & Theology,Accounting & Finance,Archaeology,Agriculture & Forestry,Business & Management,Architecture,Languages, Literature & Linguistics,Art, Performing Arts & Design,Mechanical & Aerospace Engineering,Biological Sciences,Law,Medicine & Dentistry,Other Health,Civil Engineering,Chemical Engineering,Electrical & Electronic Engineering,Economics & Econometrics,Psychology,Geography,Computer Science,Communication & Media Studies,Sociology,Sport Science,Physics & Astronomy,Mathematics & Statistics,Veterinary Science,Education,General Engineering,Chemistry,Geology, Environmental, Earth & Marine Sciences",/world-university-rankings/shanghai-jiao-tong-university
340,Egypt,Alexandria University,768,301-350,341,61.4,170,34.5,232,31.6,292,-,7.8,401,15.2,389,"Economics & Econometrics,Medicine & Dentistry,Physics & Astronomy,Sport Science,Accounting & Finance,Veterinary Science,Biological Sciences,Business & Management,Mathematics & Statistics,Agriculture & Forestry,Civil Engineering,Art, Performing Arts & Design,Chemical Engineering,General Engineering,Archaeology,Law,Geology, Environmental, Earth & Marine Sciences,Other Health,Mechanical & Aerospace Engineering,Chemistry,Sociology,Psychology,Communication & Media Studies,Architecture,Geography,Education,Politics & International Studies (incl Development Studies),History, Philosophy & Theology,Electrical & Electronic Engineering,Computer Science,Languages, Literature & Linguistics",/world-university-rankings/alexandria-university
341,Japan,Keio University,785,301-350,342,26.1,359,40.0,174,18.3,385,-,21.9,271,32.3,212,"Law,History, Philosophy & Theology,Languages, Literature & Linguistics,Geography,Other Health,Geology, Environmental, Earth & Marine Sciences,Physics & Astronomy,Education,Architecture,Business & Management,Electrical & Electronic Engineering,Medicine & Dentistry,Biological Sciences,Economics & Econometrics,General Engineering,Mathematics & Statistics,Civil Engineering,Communication & Media Studies,Sociology,Mechanical & Aerospace Engineering,Chemistry,Chemical Engineering,Politics & International Studies (incl Development Studies),Psychology,Sport Science,Accounting & Finance,Computer Science,Archaeology",/world-university-rankings/keio-university
342,Iran,Sharif University of Technology,802,301-350,343,19.3,387,93.1,31,12.7,402,-,29.7,210,28.5,251,"Computer Science,Mathematics & Statistics,Physics & Astronomy,Civil Engineering,General Engineering,Economics & Econometrics,Chemistry,Mechanical & Aerospace Engineering,Chemical Engineering,Electrical & Electronic Engineering,Business & Management",/world-university-rankings/sharif-university-technology
343,Portugal,University of Aveiro,769,301-350,344,40.9,289,34.7,229,48.4,209,-,15.9,346,17.0,377,"Psychology,Physics & Astronomy,Mathematics & Statistics,Biological Sciences,Languages, Literature & Linguistics,Chemical Engineering,Geology, Environmental, Earth & Marine Sciences,Politics & International Studies (incl Development Studies),Business & Management,Sociology,Economics & Econometrics,Accounting & Finance,Other Health,Civil Engineering,General Engineering,Electrical & Electronic Engineering,Education,Chemistry,Mechanical & Aerospace Engineering,Art, Performing Arts & Design,Communication & Media Studies",/world-university-rankings/university-aveiro
344,United States,Kent State University,786,301-350,345,58.3,179,24.6,362,26.9,324,-,13.9,366,15.9,383,"Psychology,Agriculture & Forestry,Physics & Astronomy,Electrical & Electronic Engineering,Other Health,Economics & Econometrics,Chemistry,Veterinary Science,Sport Science,Geology, Environmental, Earth & Marine Sciences,General Engineering,Biological Sciences,Geography,Sociology,Mathematics & Statistics,Law,Politics & International Studies (incl Development Studies),Computer Science,Business & Management,Art, Performing Arts & Design,Languages, Literature & Linguistics,History, Philosophy & Theology,Mechanical & Aerospace Engineering,Accounting & Finance,Education,Communication & Media Studies,Archaeology,Architecture,Medicine & Dentistry",/world-university-rankings/kent-state-university
345,United States,University of South Florida,803,301-350,346,36.6,315,94.4,29,15.0,396,-,30.1,206,22.1,322,"Physics & Astronomy,Psychology,General Engineering,Electrical & Electronic Engineering,Other Health,Geography,Chemistry,Biological Sciences,Geology, Environmental, Earth & Marine Sciences,Sociology,Civil Engineering,Computer Science,Law,Languages, Literature & Linguistics,Business & Management,History, Philosophy & Theology,Art, Performing Arts & Design,Education,Accounting & Finance,Mechanical & Aerospace Engineering,Communication & Media Studies,Chemical Engineering,Archaeology,Economics & Econometrics,Mathematics & Statistics,Politics & International Studies (incl Development Studies)",/world-university-rankings/university-south-florida
346,United Kingdom,University of Surrey,806,301-350,347,12.4,396,46.9,123,81.5,53,-,25.2,241,32.6,208,"Sport Science,Physics & Astronomy,Psychology,Other Health,Chemistry,Biological Sciences,Mathematics & Statistics,Civil Engineering,Computer Science,Economics & Econometrics,Sociology,Languages, Literature & Linguistics,Law,Business & Management,Politics & International Studies (incl Development Studies),Art, Performing Arts & Design,Accounting & Finance,Mechanical & Aerospace Engineering,Communication & Media Studies,Veterinary Science,Electrical & Electronic Engineering,Chemical Engineering",/world-university-rankings/university-surrey
347,Israel,Bar-Ilan University,770,301-350,348,15.7,393,28.5,312,47.0,218,-,32.2,188,27.9,258,"Art, Performing Arts & Design,Medicine & Dentistry,History, Philosophy & Theology,Other Health,Languages, Literature & Linguistics,Archaeology,Economics & Econometrics,Business & Management,Mathematics & Statistics,Biological Sciences,Physics & Astronomy,Computer Science,Chemistry,Communication & Media Studies,General Engineering,Education,Geography,Law,Politics & International Studies (incl Development Studies),Psychology,Sociology",/world-university-rankings/bar-ilan-university
348,United States,Lehigh University,787,301-350,349,44.9,263,38.6,184,26.5,329,-,18.1,316,20.2,339,"Chemistry,Other Health,General Engineering,Psychology,Geography,Biological Sciences,Geology, Environmental, Earth & Marine Sciences,Physics & Astronomy,Mathematics & Statistics,Civil Engineering,Politics & International Studies (incl Development Studies),Computer Science,Law,Languages, Literature & Linguistics,Sociology,Business & Management,History, Philosophy & Theology,Art, Performing Arts & Design,Architecture,Mechanical & Aerospace Engineering,Accounting & Finance,Communication & Media Studies,Electrical & Electronic Engineering,Medicine & Dentistry,Chemical Engineering",/world-university-rankings/lehigh-university
349,United Kingdom,University of Stirling,804,301-350,350,42.0,285,26.6,341,69.5,105,-,22.2,268,18.2,360,"Veterinary Science,Geology, Environmental, Earth & Marine Sciences,Communication & Media Studies,Other Health,Psychology,Sport Science,History, Philosophy & Theology,Education,Agriculture & Forestry,Economics & Econometrics,Sociology,Law,Politics & International Studies (incl Development Studies),Business & Management,Biological Sciences,Computer Science,Languages, Literature & Linguistics,Mathematics & Statistics,Accounting & Finance,Geography",/world-university-rankings/university-stirling
350,United States,"Binghamton University, State University of New York",771,301-350,351,46.2,257,29.5,297,30.8,297,-,20.3,285,18.7,353,"General Engineering,Other Health,Mathematics & Statistics,Computer Science,Archaeology,Chemical Engineering,Sociology,Business & Management,Politics & International Studies (incl Development Studies),Accounting & Finance,Mechanical & Aerospace Engineering,Economics & Econometrics,History, Philosophy & Theology,Languages, Literature & Linguistics,Art, Performing Arts & Design,Chemistry,Psychology,Geography,Biological Sciences,Geology, Environmental, Earth & Marine Sciences,Electrical & Electronic Engineering,Physics & Astronomy",/world-university-rankings/binghamton-university-state-university-new-york
351,China,Harbin Institute of Technology,827,350-400,352,21.0,380,97.2,25,21.0,371,-,12.5,377,29.0,240,"Other Health,Languages, Literature & Linguistics,General Engineering,Art, Performing Arts & Design,Civil Engineering,Law,Mechanical & Aerospace Engineering,Business & Management,Architecture,Electrical & Electronic Engineering",/world-university-rankings/harbin-institute-technology
352,Spain,Polytechnic University of Catalonia,849,350-400,353,23.3,372,44.6,131,42.0,238,-,12.5,379,23.0,317,"Physics & Astronomy,Other Health,Electrical & Electronic Engineering,General Engineering,Geology, Environmental, Earth & Marine Sciences,Business & Management,Communication & Media Studies,Mathematics & Statistics,Chemical Engineering,Civil Engineering,Mechanical & Aerospace Engineering,Computer Science,Agriculture & Forestry,Architecture",/world-university-rankings/polytechnic-university-catalonia
353,Australia,Flinders University,823,350-400,354,20.3,382,36.2,207,59.9,149,-,19.1,300,18.2,358,"Physics & Astronomy,Art, Performing Arts & Design,Biological Sciences,Geology, Environmental, Earth & Marine Sciences,Sociology,History, Philosophy & Theology,Law,Archaeology,General Engineering,Geography,Languages, Literature & Linguistics,Electrical & Electronic Engineering,Psychology,Civil Engineering,Business & Management,Computer Science,Education,Accounting & Finance,Other Health,Chemistry,Mathematics & Statistics,Communication & Media Studies,Medicine & Dentistry,Politics & International Studies (incl Development Studies)",/world-university-rankings/flinders-university
354,United Kingdom,Swansea University,857,350-400,355,25.6,360,28.8,309,63.3,139,-,18.1,317,17.6,367,"Physics & Astronomy,Sport Science,Other Health,Chemistry,Geography,Geology, Environmental, Earth & Marine Sciences,Biological Sciences,Medicine & Dentistry,Mathematics & Statistics,General Engineering,Psychology,Civil Engineering,Economics & Econometrics,Computer Science,Politics & International Studies (incl Development Studies),Law,Business & Management,Languages, Literature & Linguistics,History, Philosophy & Theology,Mechanical & Aerospace Engineering,Education,Accounting & Finance,Communication & Media Studies,Electrical & Electronic Engineering,Chemical Engineering",/world-university-rankings/swansea-university
355,Japan,Hiroshima University,829,350-400,356,20.1,384,39.4,177,18.8,382,-,16.3,336,27.7,263,"Languages, Literature & Linguistics,Medicine & Dentistry,Mathematics & Statistics,Law,Psychology,Civil Engineering,Sociology,Art, Performing Arts & Design,Sport Science,Geography,Agriculture & Forestry,Architecture,Chemistry,Communication & Media Studies,Biological Sciences,Economics & Econometrics,Geology, Environmental, Earth & Marine Sciences,Mechanical & Aerospace Engineering,Other Health,Chemical Engineering,Accounting & Finance,Archaeology,Politics & International Studies (incl Development Studies),History, Philosophy & Theology,General Engineering,Electrical & Electronic Engineering,Computer Science,Education,Business & Management,Physics & Astronomy",/world-university-rankings/hiroshima-university
356,Italy,Polytechnic University of Turin,850,350-400,357,29.1,348,67.6,65,32.4,288,-,12.1,385,19.3,348,"Electrical & Electronic Engineering,Architecture,Civil Engineering,General Engineering,Chemical Engineering,Mechanical & Aerospace Engineering",/world-university-rankings/polytechnic-university-turin
357,New Zealand,Massey University,839,350-400,358,24.5,365,-,382,77.8,67,-,17.2,329,17.4,370,"Biological Sciences,General Engineering,Geology, Environmental, Earth & Marine Sciences,Veterinary Science,Accounting & Finance,Sociology,Economics & Econometrics,Business & Management,Communication & Media Studies,Other Health,Politics & International Studies (incl Development Studies),Art, Performing Arts & Design,Chemical Engineering,Psychology,Chemistry,Education,Physics & Astronomy,Agriculture & Forestry,Sport Science,Geography,History, Philosophy & Theology,Mathematics & Statistics,Languages, Literature & Linguistics,Electrical & Electronic Engineering,Mechanical & Aerospace Engineering,Computer Science",/world-university-rankings/massey-university
358,United States,University of Idaho,830,350-400,359,24.0,368,25.5,353,27.4,318,-,16.2,340,29.4,236,"Accounting & Finance,Agriculture & Forestry,Architecture,Art, Performing Arts & Design,Biological Sciences,Business & Management,Chemical Engineering,Chemistry,Civil Engineering,Communication & Media Studies,Computer Science,Economics & Econometrics,Education,Electrical & Electronic Engineering,General Engineering,Geography,Geology, Environmental, Earth & Marine Sciences,History, Philosophy & Theology,Languages, Literature & Linguistics,Mathematics & Statistics,Mechanical & Aerospace Engineering,Other Health,Physics & Astronomy,Politics & International Studies (incl Development Studies),Psychology,Sociology,Sport Science,Veterinary Science",/world-university-rankings/university-idaho
359,Spain,Polytechnic University of Valencia,851,350-400,360,45.3,260,36.6,201,23.6,354,-,9.8,396,19.6,346,"Accounting & Finance,Business & Management,Economics & Econometrics,Politics & International Studies (incl Development Studies),Languages, Literature & Linguistics,Art, Performing Arts & Design,Mechanical & Aerospace Engineering,Agriculture & Forestry,Communication & Media Studies,Architecture,Electrical & Electronic Engineering,Chemical Engineering,General Engineering,Biological Sciences,Geology, Environmental, Earth & Marine Sciences,Other Health,Mathematics & Statistics,Chemistry,Computer Science,Civil Engineering",/world-university-rankings/polytechnic-university-valencia
360,China,Wuhan University,863,350-400,361,25.3,362,66.7,67,21.7,367,-,12.9,375,31.3,222,"Languages, Literature & Linguistics,Computer Science,Mechanical & Aerospace Engineering,Law,Communication & Media Studies,Chemical Engineering,Economics & Econometrics,Chemistry,Agriculture & Forestry,General Engineering,Geography,Politics & International Studies (incl Development Studies),Archaeology,Physics & Astronomy,Accounting & Finance,Business & Management,Architecture,Mathematics & Statistics,Biological Sciences,Civil Engineering,Geology, Environmental, Earth & Marine Sciences,Art, Performing Arts & Design,History, Philosophy & Theology,Electrical & Electronic Engineering,Medicine & Dentistry",/world-university-rankings/wuhan-university
361,United States,Kansas State University,831,350-400,362,33.9,330,36.0,209,23.6,353,-,13.8,368,20.9,331,"Physics & Astronomy,Computer Science,General Engineering,Sport Science,Architecture,History, Philosophy & Theology,Geology, Environmental, Earth & Marine Sciences,Archaeology,Mathematics & Statistics,Electrical & Electronic Engineering,Communication & Media Studies,Accounting & Finance,Chemical Engineering,Agriculture & Forestry,Languages, Literature & Linguistics,Education,Mechanical & Aerospace Engineering,Art, Performing Arts & Design,Veterinary Science,Psychology,Biological Sciences,Chemistry,Other Health,Economics & Econometrics,Politics & International Studies (incl Development Studies),Civil Engineering,Sociology,Business & Management,Geography",/world-university-rankings/kansas-state-university
362,Chile,Pontifical Catholic University of Chile,852,350-400,363,30.1,344,29.7,294,45.5,226,-,16.3,337,17.1,375,"Geography,Agriculture & Forestry,Civil Engineering,Sociology,Mathematics & Statistics,Electrical & Electronic Engineering,Psychology,Mechanical & Aerospace Engineering,General Engineering,Chemistry,Politics & International Studies (incl Development Studies),Economics & Econometrics,Languages, Literature & Linguistics,Communication & Media Studies,Education,Law,Art, Performing Arts & Design,History, Philosophy & Theology,Biological Sciences,Other Health,Computer Science,Architecture,Chemical Engineering,Physics & Astronomy,Medicine & Dentistry",/world-university-rankings/pontifical-catholic-university-chile
